Metadata_Plate,Metadata_Well,Treatment,% of siCTL Nuc,WellSum_Count_Nuclei
SOX9-LSS06-01,A23,siCTL,94.89569981679125,890
SOX9-LSS06-01,A24,siSox9,42.501591557903886,770
SOX9-LSS06-01,B23,siCTL,103.15525209606203,1005
SOX9-LSS06-01,B24,siSox9,36.79458586189647,981
SOX9-LSS06-01,C23,siCTL,95.89330966721266,906
SOX9-LSS06-01,C24,siSox9,34.654459831396004,1066
SOX9-LSS06-01,D23,siCTL,95.09076495696337,1179
SOX9-LSS06-01,D24,siSox9,36.192674012643856,997
SOX9-LSS06-01,E23,siCTL,91.0780271190826,836
SOX9-LSS06-01,E24,siSox9,50.07563759878815,1222
SOX9-LSS06-01,F23,siCTL,99.60509634270777,952
SOX9-LSS06-01,F24,siSox9,32.826433671134644,1045
SOX9-LSS06-01,G23,siCTL,103.42834424477454,1118
SOX9-LSS06-01,G24,siSox9,35.64649855938409,1119
SOX9-LSS06-01,H23,siCTL,107.70859800657972,1067
SOX9-LSS06-01,H24,siSox9,51.11783275619971,1113
SOX9-LSS06-01,I23,siCTL,108.28821584167618,968
SOX9-LSS06-01,I24,siSox9,36.0700623774584,1222
SOX9-LSS06-01,J23,siCTL,96.77946135254267,1053
SOX9-LSS06-01,J24,siSox9,36.62738925983489,1246
SOX9-LSS06-01,K23,siCTL,101.9681543508034,1086
SOX9-LSS06-01,K24,siSox9,32.64251621835646,924
SOX9-LSS06-01,L23,siCTL,101.72850424371138,1012
SOX9-LSS06-01,L24,siSox9,35.94745278322068,1016
SOX9-LSS06-01,M23,siCTL,100.71974330431634,1205
SOX9-LSS06-01,M24,siSox9,38.51114739397741,869
SOX9-LSS06-01,N23,siCTL,99.66082865677608,937
SOX9-LSS06-01,N24,siSox9,45.71387394154766,1082
