order	package_name	version	url	type
1	acepack	1.4.1	https://cran.r-project.org/src/contrib/acepack_1.4.1.tar.gz	CRAN_last
2	ADGofTest	0.3	https://cran.r-project.org/src/contrib/ADGofTest_0.3.tar.gz	CRAN_last
3	backports	1.2.1	http://cran.r-project.org/src/contrib/Archive/backports/backports_1.2.1.tar.gz	CRAN_archive
4	base64enc	0.1-3	https://cran.r-project.org/src/contrib/base64enc_0.1-3.tar.gz	CRAN_last
5	BH	1.72.0-3	http://cran.r-project.org/src/contrib/Archive/BH/BH_1.72.0-3.tar.gz	CRAN_archive
6	bit	4.0.4	http://cran.r-project.org/src/contrib/Archive/bit/bit_4.0.4.tar.gz	CRAN_archive
7	bitops	1.0-6	http://cran.r-project.org/src/contrib/Archive/bitops/bitops_1.0-6.tar.gz	CRAN_archive
8	brew	1.0-6	http://cran.r-project.org/src/contrib/Archive/brew/brew_1.0-6.tar.gz	CRAN_archive
9	brio	1.1.2	http://cran.r-project.org/src/contrib/Archive/brio/brio_1.1.2.tar.gz	CRAN_archive
10	carData	3.0-4	http://cran.r-project.org/src/contrib/Archive/carData/carData_3.0-4.tar.gz	CRAN_archive
11	caTools	1.18.0	http://cran.r-project.org/src/contrib/Archive/caTools/caTools_1.18.0.tar.gz	CRAN_archive
12	commonmark	1.7	http://cran.r-project.org/src/contrib/Archive/commonmark/commonmark_1.7.tar.gz	CRAN_archive
13	corrplot	0.84	http://cran.r-project.org/src/contrib/Archive/corrplot/corrplot_0.84.tar.gz	CRAN_archive
14	cpp11	0.4.0	http://cran.r-project.org/src/contrib/Archive/cpp11/cpp11_0.4.0.tar.gz	CRAN_archive
15	curl	4.3	http://cran.r-project.org/src/contrib/Archive/curl/curl_4.3.tar.gz	CRAN_archive
16	emoa	0.5-0.1	https://cran.r-project.org/src/contrib/emoa_0.5-0.1.tar.gz	CRAN_last
17	fansi	0.4.1	http://cran.r-project.org/src/contrib/Archive/fansi/fansi_0.4.1.tar.gz	CRAN_archive
18	farver	2.0.3	http://cran.r-project.org/src/contrib/Archive/farver/farver_2.0.3.tar.gz	CRAN_archive
19	fastcluster	1.2.3	https://cran.r-project.org/src/contrib/fastcluster_1.2.3.tar.gz	CRAN_last
20	fastmap	1.1.0	http://cran.r-project.org/src/contrib/Archive/fastmap/fastmap_1.1.0.tar.gz	CRAN_archive
21	fastmatch	1.1-0	http://cran.r-project.org/src/contrib/Archive/fastmatch/fastmatch_1.1-0.tar.gz	CRAN_archive
22	findpython	1.0.7	http://cran.r-project.org/src/contrib/Archive/findpython/findpython_1.0.7.tar.gz	CRAN_archive
23	FNN	1.1.3	http://cran.r-project.org/src/contrib/Archive/FNN/FNN_1.1.3.tar.gz	CRAN_archive
24	formatR	1.7	http://cran.r-project.org/src/contrib/Archive/formatR/formatR_1.7.tar.gz	CRAN_archive
25	futile.options	1.0.1	https://cran.r-project.org/src/contrib/futile.options_1.0.1.tar.gz	CRAN_last
26	GenomeInfoDbData	1.2.2	https://bioconductor.org/packages/3.10/data/annotation/src/contrib/GenomeInfoDbData_1.2.2.tar.gz	url_custom
27	gitcreds	0.1.1	http://cran.r-project.org/src/contrib/Archive/gitcreds/gitcreds_0.1.1.tar.gz	CRAN_archive
28	gower	0.2.1	http://cran.r-project.org/src/contrib/Archive/gower/gower_0.2.1.tar.gz	CRAN_archive
29	gsl	2.1-6	http://cran.r-project.org/src/contrib/Archive/gsl/gsl_2.1-6.tar.gz	CRAN_archive
30	HiddenMarkov	1.8-13	https://cran.r-project.org/src/contrib/HiddenMarkov_1.8-13.tar.gz	CRAN_last
31	highr	0.8	http://cran.r-project.org/src/contrib/Archive/highr/highr_0.8.tar.gz	CRAN_archive
32	ica	1.0-2	http://cran.r-project.org/src/contrib/Archive/ica/ica_1.0-2.tar.gz	CRAN_archive
33	ini	0.3.1	https://cran.r-project.org/src/contrib/ini_0.3.1.tar.gz	CRAN_last
34	jpeg	0.1-8.1	http://cran.r-project.org/src/contrib/Archive/jpeg/jpeg_0.1-8.1.tar.gz	CRAN_archive
35	labeling	0.3	http://cran.r-project.org/src/contrib/Archive/labeling/labeling_0.3.tar.gz	CRAN_archive
36	lambda.r	1.2.4	https://cran.r-project.org/src/contrib/lambda.r_1.2.4.tar.gz	CRAN_last
37	lazyeval	0.2.2	https://cran.r-project.org/src/contrib/lazyeval_0.2.2.tar.gz	CRAN_last
38	listenv	0.8.0	http://cran.r-project.org/src/contrib/Archive/listenv/listenv_0.8.0.tar.gz	CRAN_archive
39	lsei	1.2-0	http://cran.r-project.org/src/contrib/Archive/lsei/lsei_1.2-0.tar.gz	CRAN_archive
40	magrittr	2.0.1	http://cran.r-project.org/src/contrib/Archive/magrittr/magrittr_2.0.1.tar.gz	CRAN_archive
41	matrixStats	0.56.0	http://cran.r-project.org/src/contrib/Archive/matrixStats/matrixStats_0.56.0.tar.gz	CRAN_archive
42	mco	1.0-15.1	http://cran.r-project.org/src/contrib/Archive/mco/mco_1.0-15.1.tar.gz	CRAN_archive
43	misc3d	0.8-4	http://cran.r-project.org/src/contrib/Archive/misc3d/misc3d_0.8-4.tar.gz	CRAN_archive
44	nloptr	1.2.2.1	http://cran.r-project.org/src/contrib/Archive/nloptr/nloptr_1.2.2.1.tar.gz	CRAN_archive
45	numDeriv	2016.8-1.1	https://cran.r-project.org/src/contrib/numDeriv_2016.8-1.1.tar.gz	CRAN_last
46	plogr	0.2.0	https://cran.r-project.org/src/contrib/plogr_0.2.0.tar.gz	CRAN_last
47	png	0.1-7	http://cran.r-project.org/src/contrib/Archive/png/png_0.1-7.tar.gz	CRAN_archive
48	polyclip	1.10-0	http://cran.r-project.org/src/contrib/Archive/polyclip/polyclip_1.10-0.tar.gz	CRAN_archive
49	praise	1.0.0	https://cran.r-project.org/src/contrib/praise_1.0.0.tar.gz	CRAN_last
50	prettyunits	1.1.1	https://cran.r-project.org/src/contrib/prettyunits_1.1.1.tar.gz	CRAN_last
51	R6	2.4.1	http://cran.r-project.org/src/contrib/Archive/R6/R6_2.4.1.tar.gz	CRAN_archive
52	RANN	2.6.1	https://cran.r-project.org/src/contrib/RANN_2.6.1.tar.gz	CRAN_last
53	rappdirs	0.3.3	https://cran.r-project.org/src/contrib/rappdirs_0.3.3.tar.gz	CRAN_last
54	RColorBrewer	1.1-2	http://cran.r-project.org/src/contrib/Archive/RColorBrewer/RColorBrewer_1.1-2.tar.gz	CRAN_archive
55	RcppParallel	5.1.4	http://cran.r-project.org/src/contrib/Archive/RcppParallel/RcppParallel_5.1.4.tar.gz	CRAN_archive
56	RcppProgress	0.4.2	https://cran.r-project.org/src/contrib/RcppProgress_0.4.2.tar.gz	CRAN_last
57	rematch	1.0.1	https://cran.r-project.org/src/contrib/rematch_1.0.1.tar.gz	CRAN_last
58	Rhdf5lib	1.8.0	https://bioconductor.org/packages/3.10/bioc/src/contrib/Rhdf5lib_1.8.0.tar.gz	BioC_last
59	rjson	0.2.20	http://cran.r-project.org/src/contrib/Archive/rjson/rjson_0.2.20.tar.gz	CRAN_archive
60	rprojroot	2.0.2	http://cran.r-project.org/src/contrib/Archive/rprojroot/rprojroot_2.0.2.tar.gz	CRAN_archive
61	rstudioapi	0.13	http://cran.r-project.org/src/contrib/Archive/rstudioapi/rstudioapi_0.13.tar.gz	CRAN_archive
